100000 100000
1 740048951 924919680
1 129818301 12799555
1 330533820 889201598
1 197125749 318174700
1 603690888 520006188
1 4559415 906633769
1 353263281 296658390
1 976488274 768390744
1 922946810 485631967
1 5666709 189571204
1 867874724 454534422
1 391523798 243557156
1 567333065 132409353
1 216021110 64927271
1 326096796 123561806
1 725248096 920547678
1 954443987 784730066
1 674840519 183463026
1 694919598 143106131
1 21783258 477470725
1 149494904 4984538
1 222126177 948078353
1 159718434 826140066
1 100430942 606652808
1 456696460 383827420
1 144615321 184168799
1 306979183 936387165
1 445076737 512154836
1 982328370 138636454
1 106323042 57951168
1 293213100 350580413
1 198293753 975970174
1 268064664 89600089
1 741229830 90095141
1 530625268 512271863
1 690067658 200929137
1 546524335 646940126
1 504876143 745446104
1 503454739 271207771
1 4473853 823098304
1 714148786 412543219
1 161191297 958228390
1 214219053 197031399
1 207701637 973465262
1 161475253 288225941
1 642014815 30648108
1 723901444 116709053
1 784708811 696888828
1 343532231 310163281
1 191412909 146258357
1 669096393 71680037
1 733733990 809047434
1 245737660 501798439
1 631558279 381306610
1 179892374 941638489
1 465358457 144144425
1 798879439 491948807
1 205332981 25190938
1 570740242 769279792
1 957952158 617017947
1 132488578 380945663
1 122231001 342067275
1 917330155 575791850
1 123194072 141510974
1 419725810 640886853
1 201121564 110865770
1 357747144 849521255
1 13900550 698309974
1 205679287 196083517
1 252357109 85728138
1 404780979 718698935
1 538479819 734229475
1 281359388 48243422
1 47969127 910749864
1 422169902 916551804
1 36053737 364769305
1 207358236 496891949
1 970545952 473011230
1 63900320 816811896
1 584184658 96312922
1 566557742 986457574
1 818263717 73016231
1 125905248 611089419
1 451954045 134953454
1 114426944 614257252
1 599103868 735372340
1 447601427 201968148
1 994911231 165383875
1 548063876 752201949
1 306612241 64160265
1 740408132 519223806
1 291376361 899784167
1 286520090 884816056
1 975255282 165825601
1 660114845 442658091
1 723664721 433072886
1 443933275 621341825
1 40465526 144757961
1 13002415 635740558
1 94630924 762514397
1 448180174 339034389
1 667942074 998393427
1 488384926 602952448
1 784749495 587686238
1 25479070 877483737
1 925390470 754036294
1 935436268 149576589
1 449679130 555162695
1 221331388 474961512
1 592603746 654982814
1 342922156 439545922
1 788617572 26463320
1 244949558 934048585
1 909444117 31653651
1 513668902 348974974
1 423653314 432958593
1 769448316 764303356
1 972762160 213597087
1 118773891 13456552
1 799821661 502509854
1 843553812 714859368
1 215052692 175616543
1 347694690 194629921
1 983516210 775310511
1 591474276 999333347
1 176280997 374767366
1 149004008 137408632
1 435001263 824871431
1 458988822 256849908
1 989132460 471322371
1 702010349 412779025
1 19477992 387570709
1 741477670 960574727
1 9627545 187348799
1 356648389 355593724
1 162602676 263976548
1 834844139 714778322
1 356630069 47689484
1 829390737 253764082
1 121249216 21075956
1 979067624 962831832
1 456592789 788912570
1 372901436 790131484
1 912986571 587619560
1 719894085 337019397
1 91748311 120604431
1 201874439 27017660
1 124286247 170343376
1 941066894 87205881
1 810290937 11467463
1 543253899 160792027
1 251201854 789688754
1 48732682 858916867
1 898457355 60738359
1 855354708 691044338
1 566328541 429243661
1 901771386 72566201
1 846459918 165659029
1 559644187 108960696
1 499746129 424646686
1 758285819 134777213
1 667419853 811359668
1 559333464 181606529
1 601690598 113386863
1 351139808 321691100
1 630674755 564304271
1 389597734 84454213
1 117889961 42146924
1 343593365 190158772
1 568869820 397868296
1 348900099 126586161
1 962386056 768592566
1 246789932 7464767
